place_id,name,type,district,lat,lon,indoor,noise,romantic,budget_level,walk_score,alcohol_available,extrovert_friendly,tags
p083,스페인클럽 가로수길 본점,restaurant,강남구,37.48641320438895,126.9684323852188,1,3,3,2,3,no,yes,음식점>스페인음식
p084,캐비스트리,restaurant,강남구,37.43579453127199,127.05639598066136,1,3,3,2,3,no,yes,음식점>스페인음식
p085,단스시,restaurant,강남구,37.42200071662161,126.9132563441136,1,3,3,2,3,no,yes,"음식점>일식>초밥,롤"
p086,용수사,restaurant,강남구,37.54926927334762,127.09420167997114,1,3,3,2,3,no,yes,음식점>일식>일식당
p087,후지,restaurant,강남구,37.54184048819057,127.04462822725424,1,3,3,2,3,no,yes,음식점>일식>일식당
p088,우동명가기리야마본진,restaurant,강남구,37.56936875309257,126.9701779328154,1,3,3,2,3,yes,yes,"음식점>일식>우동,소바"
p089,두사라 신사점,restaurant,강남구,37.5429968103922,126.97120094434013,1,3,3,2,3,no,yes,음식점>일식>일식당
p090,빨간의자집 강남역점,restaurant,강남구,37.4274554498295,126.9914591359036,1,3,3,2,3,no,yes,"한식>육류,고기요리"
p091,장인닭갈비 강남점,restaurant,강남구,37.57929110808988,126.94976658428192,1,3,3,2,3,no,yes,한식>닭갈비
p092,꽃새우 영번지 역삼점,restaurant,강남구,37.549217085955696,126.98664115538892,1,3,3,2,3,no,yes,"한식>해물,생선요리"
p093,미나리밭오리사냥 강남역점,restaurant,강남구,37.58249234765206,126.91985128628978,1,3,3,2,3,no,yes,한식>오리요리
p094,메르밀진미집 논현직영점,restaurant,강남구,37.5977138411345,127.055684497243,1,3,3,2,3,no,yes,음식점>한식>국수
p095,한과와락,cafe,강남구,37.500730926554056,126.96029218520918,1,2,3,2,3,no,no,"음식점>카페,디저트"
p096,썸띵어바웃커피,cafe,강남구,37.47781387551915,127.09304510124716,1,2,3,2,3,no,no,"음식점>카페,디저트"
p097,에뚜왈 가로수길점,cafe,강남구,37.465958289159616,127.09165291116824,1,2,3,2,3,no,no,"카페,디저트>베이커리"
p098,플링크 압구정,cafe,강남구,37.53130978193209,126.98474308754444,1,2,3,2,3,no,no,"카페,디저트>베이커리"
p099,레자미오네뜨,cafe,강남구,37.41304193068861,127.06870826155898,1,2,3,2,3,no,no,"카페,디저트>베이커리"
p100,느루 연남점,restaurant,마포구,37.40075566598506,127.03085885983096,1,3,3,2,3,no,yes,음식점>양식
p101,양식구옥,restaurant,마포구,37.403715315014935,127.09826769283238,1,3,3,2,3,no,yes,음식점>양식
p102,라라와케이 합정,restaurant,마포구,37.50967214886344,126.96421104533046,1,2,4,4,3,yes,no,술집>와인
p103,탭샵바 합정점,restaurant,마포구,37.43550887558372,127.0526371399954,1,2,4,4,3,yes,no,술집>와인
p104,오아시스,restaurant,마포구,37.42165158551317,127.08066662829984,1,4,2,2,3,yes,yes,술집>요리주점
p105,연남5701,restaurant,마포구,37.481939787345915,126.9794812848114,1,2,4,4,3,yes,no,술집>와인
p106,뉴올 재즈 라운지,restaurant,마포구,37.44678691275254,126.94675612814288,1,2,4,4,3,yes,no,술집>와인
p107,레이몬드 홍대점,restaurant,마포구,37.45476913453374,126.98748631992764,1,3,3,2,3,no,yes,음식점>피자
p108,셔우드,restaurant,마포구,37.547550547920935,126.97180063337748,1,3,3,2,3,no,yes,음식점>피자
p109,피자네버슬립스 합정상수점,restaurant,마포구,37.46487735149096,126.95954005810736,1,3,3,2,3,no,yes,음식점>피자
p110,홍대IN파스타,restaurant,마포구,37.55172602202967,126.9871364439902,1,3,3,2,3,no,yes,음식점>양식
p111,탑클라우드23,restaurant,마포구,37.52581551103928,126.98085261088588,1,3,3,2,3,no,yes,음식점>뷔페
p112,아트와떵,restaurant,마포구,37.424019825316314,127.0949647728294,1,3,3,2,3,no,yes,음식점>프랑스음식
p113,파사주,restaurant,마포구,37.467563983392,126.99149770927365,1,3,3,2,3,no,yes,음식점>프랑스음식
p114,서강팔경,restaurant,마포구,37.419401400399806,127.0747593139094,1,3,3,2,3,no,yes,음식점>프랑스음식
p115,브뤼셀프라이 연남점,restaurant,마포구,37.4516177840187,126.93760317562078,1,3,3,2,3,no,yes,음식점>후렌치후라이
p116,엘비스텍,restaurant,마포구,37.52379682008814,127.06430420091408,1,3,3,2,3,no,yes,음식점>스페인음식
p117,베우노,restaurant,마포구,37.55682236693533,126.90680410718792,1,3,3,2,3,no,yes,음식점>스페인음식
p118,무어스,restaurant,마포구,37.57632901374021,127.06610418552212,1,3,3,2,3,no,yes,음식점>스페인음식
p119,스페인식당 더크래프트,restaurant,마포구,37.46441849498665,126.95917842217584,1,3,3,2,3,no,yes,음식점>스페인음식
p120,문스타파,restaurant,마포구,37.45148683078756,127.04535562812552,1,3,3,2,3,no,yes,음식점>스페인음식
p121,가메스시,restaurant,마포구,37.435051296386995,126.99730040285836,1,3,3,2,3,no,yes,"음식점>일식>초밥,롤"
p122,네코네기,restaurant,마포구,37.546960183118735,126.92584275084,1,3,3,2,3,no,yes,음식점>일식>일식당
p123,연하동 연남본점,restaurant,마포구,37.49808416458945,126.91926148488392,1,3,3,2,3,no,yes,음식점>일식>일식당
p124,초이다이닝,restaurant,마포구,37.58198253045851,127.09728687879915,1,3,3,2,3,no,yes,음식점>일식>일식당
p125,백해,restaurant,마포구,37.45206693755164,126.99200073498564,1,4,2,2,3,yes,yes,술집>이자카야
p126,꽃피는고기,restaurant,마포구,37.5404336683823,126.9008765055635,1,3,3,2,3,no,yes,"한식>육류,고기요리"
p127,든든덮밥&amp;곱도리 합정점,restaurant,마포구,37.58614138485366,127.0079752216236,1,3,3,2,3,no,yes,음식점>한식
p128,홍대 육지,restaurant,마포구,37.55119575036304,126.96584822348184,1,3,3,2,3,no,yes,"한식>육류,고기요리"
p129,육미안 연남점,restaurant,마포구,37.52287861482825,126.97159435837122,1,3,3,2,3,no,yes,한식>소고기구이
p130,박만배아리랑보쌈 공덕점,restaurant,마포구,37.564495876830726,127.01873108581307,1,3,3,2,3,no,yes,"한식>족발,보쌈"
p131,카페 공명 연남점,cafe,마포구,37.51624403717271,126.93273320867748,1,2,3,2,3,no,no,"음식점>카페,디저트"
p132,코리코카페 연남점,cafe,마포구,37.43464868208968,126.91959897130236,1,2,3,2,3,no,no,"음식점>카페,디저트"
p133,카페클로이인패리스,cafe,마포구,37.57879234044059,126.99928502754364,1,2,3,2,3,no,no,"음식점>카페,디저트"
p134,티노마드,cafe,마포구,37.4832449684901,126.95699399770268,1,2,3,2,3,no,no,"음식점>카페,디저트"
p135,어글리베이커리,cafe,마포구,37.598317542602686,127.08698214641548,1,2,3,2,3,no,no,"카페,디저트>베이커리"
p136,버터베이커리,cafe,마포구,37.46347115142014,126.98998374164373,1,2,3,2,3,no,no,"카페,디저트>베이커리"
p137,비파티세리 공덕점,cafe,마포구,37.40126108733697,126.90504845180524,1,2,3,2,3,no,no,"카페,디저트>베이커리"
p138,리치몬드 과자점 성산본점,cafe,마포구,37.57555705032286,127.0829009915384,1,2,3,2,3,no,no,"카페,디저트>베이커리"
p139,파스타마켓 혜화 본점,restaurant,종로구,37.52988795541895,127.08930640360605,1,3,3,2,3,no,yes,"이탈리아음식>스파게티,파스타전문"
p140,서양집 혜화대학로본점,restaurant,종로구,37.51501581370563,126.93739194674342,1,3,3,2,3,no,yes,"이탈리아음식>스파게티,파스타전문"
p141,준수방키친,restaurant,종로구,37.53193330774773,127.09358209137524,1,3,3,2,3,no,yes,음식점>이탈리아음식
p142,디마떼오,restaurant,종로구,37.48021002258413,126.92316541964291,1,3,3,2,3,no,yes,음식점>양식
p143,탭샵바 청계천삼일빌딩,restaurant,종로구,37.4381604452427,127.07036608623656,1,2,4,4,3,yes,no,술집>와인
p144,타펠룬데 서울,restaurant,종로구,37.544053100583206,126.90416146040434,1,2,4,4,3,yes,no,술집>와인
p145,문문 동묘역점,restaurant,종로구,37.498913203067474,126.99280495773615,1,2,4,4,3,yes,no,술집>와인
p146,우즈 웨일,restaurant,종로구,37.508236531920446,127.09849148798446,1,2,4,4,3,yes,no,술집>와인
p147,bar420,restaurant,종로구,37.41403204118402,126.95768469596254,1,2,4,4,3,yes,no,술집>와인
p148,핏제리아오 대학로 본점,restaurant,종로구,37.53388028765874,127.01291812503382,1,3,3,2,3,no,yes,음식점>피자
p149,오늘그대와 익선,restaurant,종로구,37.59026015553274,127.01228813212796,1,3,3,2,3,no,yes,"이탈리아음식>스파게티,파스타전문"
p150,간판없는가게,restaurant,종로구,37.472033402263946,126.95499383967092,1,3,3,2,3,no,yes,음식점>이탈리아음식
p151,팔발라 삼청본점,restaurant,종로구,37.492704259551,127.07415750818976,1,3,3,2,3,no,yes,음식점>프랑스음식
p152,파틱,restaurant,종로구,37.52673771802471,127.06594156948393,1,3,3,2,3,no,yes,음식점>프랑스음식
p153,렁팡스,restaurant,종로구,37.49254539747976,126.96102704121022,1,3,3,2,3,no,yes,음식점>프랑스음식
p154,브뤼셀프라이 안국점,restaurant,종로구,37.4121942636534,126.90836285832586,1,3,3,2,3,no,yes,음식점>후렌치후라이
p155,엘 꾸비또,restaurant,종로구,37.596253128608296,127.03968486756392,1,3,3,2,3,no,yes,음식점>스페인음식
p156,따빠마드레,restaurant,종로구,37.526564790257375,127.08894510576108,1,3,3,2,3,no,yes,음식점>스페인음식
p157,구스타파스,restaurant,종로구,37.464819704995435,126.9467361844328,1,3,3,2,3,no,yes,음식점>스페인음식
p158,외교센터번역아포스티유,restaurant,종로구,37.44043203880986,127.0215833881882,1,3,3,2,3,no,yes,"번역,통역서비스>다국어통번역"
p159,르몽드어학원,restaurant,종로구,37.44124333056413,127.003297597518,1,3,3,2,3,no,yes,어학교육>프랑스어교육
p160,칸다소바,restaurant,종로구,37.46933332338766,126.91559299875904,1,3,3,2,3,no,yes,음식점>일식>일본식라면
p161,진작 카키,restaurant,종로구,37.5337159560668,126.94034288767442,1,3,3,2,3,no,yes,음식점>한식
p162,메종 아카이 혜화본점,restaurant,종로구,37.47594868030837,127.0126297591428,1,3,3,2,3,no,yes,음식점>일식>돈가스
p163,칸다소바 경복궁점,restaurant,종로구,37.485546909651134,126.99867682332165,1,3,3,2,3,no,yes,음식점>일식>일본식라면
p164,코돈부르 광화문본점,restaurant,종로구,37.51076461383841,127.06490689717256,1,3,3,2,3,no,yes,음식점>일식>돈가스
p165,고은정,restaurant,종로구,37.46212891895787,127.000386394367,1,3,3,2,3,no,yes,음식점>한식
p166,샤브가든 종로타워점,restaurant,종로구,37.465405031985014,126.92287259298328,1,3,3,2,3,no,yes,음식점>한식
p167,인사동마늘보쌈,restaurant,종로구,37.55808095659861,126.98072699264854,1,3,3,2,3,no,yes,"한식>족발,보쌈"
p168,이복희해장 종로직영점,restaurant,종로구,37.52018059060761,127.01641925834572,1,3,3,2,3,no,yes,음식점>한식
p169,북촌도담,restaurant,종로구,37.58235657711731,126.93487680699144,1,3,3,2,3,no,yes,음식점>한식
p170,푸드떼,cafe,종로구,37.543027752212005,126.99249560250206,1,2,3,2,3,no,no,"음식점>카페,디저트"
p171,아베베 베이커리 서울,cafe,종로구,37.421293984144235,126.97487159483684,1,2,3,2,3,no,no,"카페,디저트>베이커리"
p172,효자베이커리,cafe,종로구,37.47806591649104,126.9671120727934,1,2,3,2,3,no,no,"카페,디저트>베이커리"
p173,문화제빵,cafe,종로구,37.46248736620352,126.99904198770096,1,2,3,2,3,no,no,"카페,디저트>베이커리"
p174,아티스트베이커리 안국,cafe,종로구,37.56912234658813,127.0904917915648,1,2,3,2,3,no,no,"카페,디저트>베이커리"
p175,레스피레베이커리 서촌,cafe,종로구,37.554868340867294,127.031806479649,1,2,3,2,3,no,no,"카페,디저트>베이커리"
p176,엘빙할루카,cafe,서초구,37.419884205715505,126.98336133815066,1,2,3,2,3,no,no,"카페,디저트>빙수"
p177,MAILLET,cafe,서초구,37.47549930931995,126.93560526363136,1,2,3,2,3,no,no,"음식점>카페,디저트"
p178,모센트 양재점,cafe,서초구,37.561489404947984,127.07363467596628,1,2,3,2,3,no,no,"음식점>카페,디저트"
p179,쎄봉 크루아상 크로플마을,cafe,서초구,37.456094097823865,127.03332096069924,1,2,3,2,3,no,no,"음식점>카페,디저트"
p180,챱챱케이크,cafe,서초구,37.54623222820627,126.94479878452184,1,2,3,2,3,no,no,"카페,디저트>케이크전문"
p181,리에또,restaurant,서초구,37.55901852523505,126.94076502090228,1,3,3,2,3,no,yes,"이탈리아음식>스파게티,파스타전문"
p182,트라가 강남역점,restaurant,서초구,37.58465998720772,127.00401349908462,1,3,3,2,3,no,yes,음식점>스페인음식
p183,포폴라리타 서래마을 본점,restaurant,서초구,37.58248960145723,127.06680256892648,1,3,3,2,3,no,yes,음식점>이탈리아음식
p184,도셰프,restaurant,서초구,37.52629042768555,126.96290686459054,1,3,3,2,3,no,yes,음식점>이탈리아음식
p185,앙젤리제,restaurant,서초구,37.54927754861664,127.064176135267,1,3,3,2,3,no,yes,음식점>양식
p186,듀블럭 이수역점,restaurant,서초구,37.462150000925845,127.0635027257955,1,3,3,2,3,no,yes,음식점>양식
p187,쓰리버즈 센트럴시티점,restaurant,서초구,37.43342135526446,127.05345608012772,1,3,3,2,3,no,yes,음식점>브런치
p188,더플라잉팬 레드,restaurant,서초구,37.51795680836042,126.91598824837313,1,3,3,2,3,no,yes,음식점>양식
p189,포시즌키친 양재천점,restaurant,서초구,37.51374758178535,127.05544636839724,1,3,3,2,3,no,yes,음식점>양식
p190,파스타 트리오,restaurant,서초구,37.567529670606646,126.98866300172692,1,3,3,2,3,no,yes,음식점>양식
p191,비스트로누,restaurant,서초구,37.490831296799755,127.01587577531322,1,3,3,2,3,no,yes,음식점>이탈리아음식
p192,플랫나인,restaurant,서초구,37.56043144891468,127.0664676696722,1,4,2,2,3,yes,yes,술집>요리주점
p193,에떼,restaurant,서초구,37.4121979943564,126.97712264870007,1,2,4,4,3,yes,no,술집>와인
p194,무드서울,restaurant,서초구,37.55230929808955,127.0091329685566,1,2,4,4,3,yes,no,술집>와인
p195,먼데이블루스,restaurant,서초구,37.575199681327305,126.91232217541864,1,2,4,4,3,yes,no,술집>와인
p196,와인에세이 와인샵,restaurant,서초구,37.47151806793938,127.00310523508016,1,2,4,4,3,yes,no,술집>와인
p197,더몰트하우스 강남역점,restaurant,서초구,37.403397678800665,127.00123721910995,1,3,3,2,3,no,yes,음식점>양식>이탈리아음식
p198,바리에가타 신논현,restaurant,서초구,37.59234125338208,126.95980174136692,1,3,3,2,3,no,yes,음식점>이탈리아음식
p199,매드포갈릭 사당점,restaurant,서초구,37.47006717695878,126.9137286980168,1,3,3,2,3,no,yes,양식>이탈리아음식
p200,라비드쿤,restaurant,서초구,37.48567571836068,126.99312362536476,1,3,3,2,3,no,yes,음식점>프랑스음식
p201,에쌍스,restaurant,서초구,37.43226154356064,127.05117451145624,1,3,3,2,3,no,yes,음식점>프랑스음식
p202,레스토랑 에어룸,restaurant,서초구,37.41486479774218,127.04950408433002,1,3,3,2,3,no,yes,음식점>프랑스음식
p203,라싸브어,restaurant,서초구,37.52808429803013,126.91865870422755,1,3,3,2,3,no,yes,음식점>프랑스음식
p204,마담미미,restaurant,서초구,37.431240561581255,126.9080195783308,1,3,3,2,3,no,yes,음식점>프랑스음식
p205,리틀올리브 서울,restaurant,서초구,37.54525024536821,127.01623735745146,1,3,3,2,3,no,yes,음식점>스페인음식
p206,꼬메도르16,restaurant,서초구,37.59820128495324,126.94359003422734,1,3,3,2,3,no,yes,음식점>스페인음식
p207,꼬시나 에스파냐,restaurant,서초구,37.473329433671665,127.05695510896362,1,3,3,2,3,no,yes,음식점>스페인음식
p208,타파델디아,restaurant,서초구,37.52544534304081,127.03654063349856,1,3,3,2,3,no,yes,음식점>스페인음식
p209,아카사카일식 강남역본점,restaurant,서초구,37.55562899884537,126.91032407574326,1,3,3,2,3,no,yes,음식점>일식>일식당
p210,미우야,restaurant,서초구,37.501099919067094,126.91952257182902,1,3,3,2,3,no,yes,음식점>일식>일식당
p211,댓짱돈까스 본점,restaurant,서초구,37.46161050786881,126.9574060611293,1,3,3,2,3,no,yes,음식점>일식>돈가스
p212,가츠오 교대본점,restaurant,서초구,37.441878814949234,127.094614457788,1,3,3,2,3,no,yes,음식점>일식>돈가스
p213,멘야하나비 신사점,restaurant,서초구,37.52803898274622,127.0437585753007,1,3,3,2,3,no,yes,음식점>일식>일본식라면
p214,가우리집,restaurant,서초구,37.52619489837758,127.08808150063555,1,3,3,2,3,no,yes,"한식>해물,생선요리"
p215,꾸석지돌판한우 강남점,restaurant,서초구,37.46071021628385,126.95943289951724,1,3,3,2,3,no,yes,"육류,고기요리>소고기구이"
p216,석암생소금구이 사당점,restaurant,서초구,37.52834404672766,126.9996030952139,1,3,3,2,3,no,yes,"한식>육류,고기요리"
p217,담,restaurant,서초구,37.53935401908805,127.05466796510689,1,3,3,2,3,no,yes,한식>한정식
p218,거대곰탕 서초점,restaurant,서초구,37.46209140696,127.03178626148728,1,3,3,2,3,no,yes,"한식>곰탕,설렁탕"
p219,미니말레 커피뢰스터 교대법원점,cafe,서초구,37.47928557998642,127.05683459409168,1,2,3,2,3,no,no,"음식점>카페,디저트"
p220,리플렉트커피 로스팅 랩,cafe,서초구,37.44554732642937,126.90728536412604,1,2,3,2,3,no,no,"음식점>카페,디저트"
p221,오쎄,cafe,서초구,37.54040134957856,126.99387008236428,1,2,3,2,3,no,no,"음식점>카페,디저트"
p222,비밀베이커리 예술의전당점,cafe,서초구,37.44523730743391,127.07579631744308,1,2,3,2,3,no,no,"카페,디저트>베이커리"
p223,레망도레 서래마을점,cafe,서초구,37.47626316950558,126.94426808519655,1,2,3,2,3,no,no,"카페,디저트>베이커리"
p224,누아주베이커리 방배본점,cafe,서초구,37.549276788612325,126.98371712679136,1,2,3,2,3,no,no,"카페,디저트>베이커리"
